                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6979,                  3.221,                 2.1477,                0.09799,                0.11155,                  0.042,                0.01093,                 2.7142,                 3.3422,                  2.415,             0.00066498,             0.00066498,             0.00066498
                      2,                 2.6619,                 2.9489,                 2.1527,                0.12719,                0.10566,                0.04848,                0.01339,                 2.6923,                 3.0963,                 2.3582,              0.0013185,              0.0013185,              0.0013185
                      3,                 2.6407,                 2.8955,                  2.126,                0.09604,                 0.1062,                0.03837,                0.01083,                 2.6454,                 3.4979,                 2.3386,              0.0019587,              0.0019587,              0.0019587
                      4,                 2.5852,                 2.8311,                 2.0761,                0.15256,                0.13437,                0.06425,                0.01804,                 2.5806,                 2.9062,                  2.176,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5215,                 2.7441,                 2.0234,                0.17446,                0.15437,                0.08229,                0.02487,                 2.5067,                 2.7216,                 2.0961,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.4877,                 2.6802,                 2.0069,                 0.1852,                0.18225,                0.10319,                0.03039,                 2.4986,                 2.6821,                 2.0436,               0.001901,               0.001901,               0.001901
                      7,                 2.4589,                 2.6061,                 1.9506,                0.23354,                 0.2138,                0.13871,                0.04276,                 2.4522,                 2.5701,                 2.0737,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4375,                 2.5542,                 1.9328,                0.26138,                0.22732,                0.14932,                0.04555,                 2.4213,                 2.5103,                 1.9798,              0.0018614,              0.0018614,              0.0018614
                      9,                  2.399,                 2.5061,                 1.9168,                0.25545,                0.23718,                0.16021,                0.04982,                 2.3993,                  2.467,                 2.0559,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3859,                 2.4422,                 1.9085,                0.21284,                0.23944,                0.14481,                0.04665,                 2.4112,                 2.4683,                 2.0283,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.363,                 2.3855,                 1.8773,                0.28523,                0.27521,                0.21452,                0.06788,                 2.3567,                 2.3278,                 1.9689,               0.001802,               0.001802,               0.001802
                     12,                 2.3452,                 2.3232,                 1.8506,                0.32137,                0.30282,                0.23063,                0.07095,                 2.3514,                 2.2975,                 1.9196,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.3149,                 2.2899,                  1.851,                0.32977,                0.31352,                0.24594,                0.07851,                 2.3396,                 2.2704,                 1.9127,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.3114,                 2.2694,                 1.8304,                0.37376,                   0.32,                 0.2686,                0.08483,                 2.3431,                 2.2221,                 1.9623,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2978,                 2.2204,                 1.8215,                0.36451,                0.34761,                0.28946,                0.09398,                 2.2948,                 2.2053,                 1.8782,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.283,                 2.1863,                 1.8002,                0.37114,                0.36958,                0.29673,                0.09354,                 2.3228,                 2.0937,                 1.9131,               0.001703,               0.001703,               0.001703
                     17,                 2.2679,                 2.1474,                   1.79,                0.39481,                0.36141,                 0.3029,                 0.0974,                 2.3143,                 2.1078,                 1.9334,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.2642,                 2.0952,                 1.7754,                0.42687,                0.36592,                0.33173,                0.10805,                  2.293,                 2.0625,                 1.8908,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.2443,                 2.0465,                 1.7643,                0.42462,                0.35493,                0.32498,                0.11135,                 2.3097,                 2.0487,                 1.9278,              0.0016436,              0.0016436,              0.0016436
                     20,                  2.225,                 2.0472,                 1.7454,                0.44523,                0.40254,                0.36751,                 0.1214,                  2.267,                 2.0198,                 1.8519,              0.0016238,              0.0016238,              0.0016238
                     21,                  2.222,                 2.0058,                 1.7422,                0.47213,                0.39634,                0.37785,                0.12346,                 2.2923,                 1.9816,                 1.8479,               0.001604,               0.001604,               0.001604
                     22,                 2.2138,                  1.987,                 1.7297,                0.44955,                0.43155,                0.38987,                0.13251,                   2.26,                 1.9639,                 1.8229,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.2044,                 1.9621,                   1.72,                0.45231,                0.41502,                0.37987,                0.12826,                  2.285,                  1.947,                 1.8337,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.2014,                  1.926,                 1.7249,                0.46066,                0.42986,                0.38811,                0.13105,                 2.2939,                 1.9307,                 1.8388,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1756,                 1.9092,                 1.7021,                0.48531,                 0.4332,                0.40201,                0.13415,                 2.2813,                 1.9204,                 1.8523,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.1673,                 1.8861,                 1.7004,                0.47075,                0.43437,                 0.4045,                0.13775,                 2.2901,                 1.8989,                  1.819,               0.001505,               0.001505,               0.001505
                     27,                 2.1605,                 1.8634,                 1.6865,                0.49098,                0.43944,                0.41698,                 0.1382,                 2.2824,                 1.8755,                 1.8404,              0.0014852,              0.0014852,              0.0014852
                     28,                   2.15,                 1.8307,                  1.678,                0.49484,                0.44254,                0.41817,                0.14281,                  2.282,                 1.8574,                 1.8248,              0.0014654,              0.0014654,              0.0014654
                     29,                  2.146,                 1.8058,                 1.6696,                0.52164,                0.46113,                0.43379,                0.14642,                  2.291,                  1.796,                 1.8292,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.1228,                 1.7764,                  1.668,                0.50657,                0.45268,                0.42968,                0.14834,                 2.2831,                 1.8228,                 1.8253,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.1235,                 1.7752,                 1.6531,                0.51118,                0.45465,                0.44243,                0.15056,                 2.3016,                  1.788,                 1.8333,               0.001406,               0.001406,               0.001406
                     32,                 2.1164,                 1.7494,                 1.6507,                0.51665,                0.46507,                0.44698,                0.15684,                 2.2916,                 1.7754,                 1.8304,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.1086,                  1.732,                 1.6401,                0.53734,                0.47307,                0.46072,                0.15693,                 2.2808,                 1.7864,                 1.8213,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.0983,                 1.7132,                 1.6297,                0.51287,                0.46197,                0.44534,                0.15338,                 2.2813,                 1.7728,                 1.8224,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.0886,                 1.7008,                 1.6318,                0.53142,                 0.4938,                0.46254,                0.15834,                 2.2854,                 1.7482,                  1.812,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0835,                 1.6836,                 1.6119,                0.54672,                0.47022,                0.45857,                0.15868,                 2.2914,                 1.7604,                 1.8105,               0.001307,               0.001307,               0.001307
                     37,                 2.0654,                  1.665,                 1.6097,                0.53682,                0.49549,                0.47145,                0.16203,                 2.2866,                 1.7255,                 1.8253,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0635,                 1.6582,                 1.5987,                0.52479,                0.47887,                0.45463,                 0.1546,                 2.3044,                 1.7509,                 1.8216,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0562,                 1.6263,                  1.592,                0.53387,                0.48986,                 0.4644,                0.15828,                 2.3089,                 1.7172,                 1.8301,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.049,                 1.6144,                 1.5889,                0.53558,                0.48958,                 0.4752,                0.16447,                  2.296,                 1.7083,                 1.8083,              0.0012278,              0.0012278,              0.0012278
                     41,                  2.046,                 1.6147,                 1.5843,                0.56012,                0.48423,                0.47885,                0.16522,                 2.2993,                 1.6884,                 1.8189,               0.001208,               0.001208,               0.001208
                     42,                 2.0255,                 1.5916,                 1.5736,                0.53806,                0.48761,                0.47139,                0.16465,                 2.3111,                 1.7062,                 1.8286,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.0233,                 1.5899,                 1.5669,                0.53459,                0.49211,                0.48022,                0.16693,                 2.3198,                 1.6766,                 1.8298,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.0107,                  1.564,                 1.5674,                0.54679,                0.49831,                0.48029,                0.16569,                  2.313,                  1.673,                 1.8315,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.0128,                 1.5553,                 1.5537,                0.54574,                0.49239,                0.47757,                0.16474,                  2.312,                  1.664,                 1.8216,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.9994,                 1.5337,                 1.5508,                0.54607,                0.51183,                 0.4943,                0.17341,                 2.3154,                 1.6495,                 1.8231,               0.001109,               0.001109,               0.001109
                     47,                 1.9872,                 1.5181,                 1.5427,                0.53601,                0.49634,                0.48061,                0.16487,                 2.3285,                 1.6582,                 1.8348,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.997,                 1.5294,                 1.5472,                0.55767,                0.49775,                 0.4879,                0.16886,                 2.3343,                 1.6485,                 1.8229,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.9808,                  1.506,                  1.536,                0.55578,                0.49239,                0.48452,                0.16861,                 2.3253,                 1.6473,                 1.8223,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.9639,                 1.4938,                  1.528,                0.55184,                0.50056,                0.48724,                0.16841,                 2.3403,                 1.6469,                 1.8496,              0.0010298,              0.0010298,              0.0010298
