                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6992,                 3.2254,                 2.1487,                0.07323,                0.12197,                0.02886,                0.00783,                 2.7491,                 3.3982,                 2.3854,             0.00066498,             0.00066498,             0.00066498
                      2,                 2.6631,                 2.9423,                 2.1593,                 0.1235,                0.08986,                0.04901,                0.01333,                 2.6791,                 3.2822,                 2.3807,              0.0013185,              0.0013185,              0.0013185
                      3,                  2.637,                  2.901,                 2.1245,                0.12476,                0.12291,                0.05809,                0.01739,                 2.6533,                 3.2392,                 2.2214,              0.0019587,              0.0019587,              0.0019587
                      4,                 2.5758,                 2.8095,                 2.0696,                0.14711,                0.14901,                0.06912,                0.01967,                 2.5856,                 2.8613,                 2.2029,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5278,                 2.7448,                 2.0317,                 0.2034,                0.14282,                0.09149,                0.02675,                 2.5204,                 2.7382,                  2.057,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.4832,                  2.678,                 1.9919,                0.17972,                0.19437,                0.10627,                 0.0312,                 2.4661,                 2.7743,                 2.0667,               0.001901,               0.001901,               0.001901
                      7,                 2.4632,                 2.6028,                 1.9631,                0.23496,                0.21887,                0.13917,                 0.0409,                  2.476,                 2.6925,                 2.0819,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4335,                 2.5427,                 1.9413,                0.24018,                0.22676,                0.14507,                 0.0446,                 2.4129,                 2.5665,                 2.0569,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4076,                 2.4869,                 1.9266,                0.30264,                   0.24,                0.19211,                0.05826,                 2.3987,                 2.4284,                 2.0398,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3784,                  2.434,                 1.8923,                0.19766,                0.24028,                0.13521,                0.04295,                 2.3893,                 2.4945,                 2.0139,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3561,                 2.3775,                 1.8726,                0.32261,                0.29465,                 0.2342,                0.07226,                 2.3573,                 2.3213,                 1.9604,               0.001802,               0.001802,               0.001802
                     12,                 2.3405,                 2.3208,                 1.8455,                0.35481,                0.32391,                0.26123,                0.08105,                 2.3251,                 2.2615,                 1.9095,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.3155,                 2.2887,                 1.8448,                0.32505,                0.31972,                0.24092,                0.07523,                 2.3388,                  2.294,                 1.9442,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.3143,                 2.2615,                 1.8352,                0.34727,                0.33495,                0.26427,                0.08492,                 2.3116,                 2.1847,                 1.9219,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2991,                 2.2172,                 1.8171,                0.36061,                   0.36,                0.28138,                 0.0884,                 2.2885,                 2.1522,                  1.884,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2824,                 2.1784,                 1.8084,                0.40221,                0.37296,                0.31333,                0.09983,                 2.3156,                 2.0998,                 1.9189,               0.001703,               0.001703,               0.001703
                     17,                 2.2621,                 2.1409,                 1.7932,                0.37955,                0.37437,                0.29439,                0.09502,                 2.2879,                 2.1218,                 1.9162,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.252,                 2.0924,                 1.7719,                0.40721,                0.37042,                 0.3202,                0.10498,                 2.2928,                 2.0917,                 1.9235,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.2373,                 2.0565,                 1.7654,                0.40067,                0.39408,                0.34315,                0.11402,                 2.3053,                 2.0281,                 1.9048,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.2284,                 2.0421,                  1.758,                0.43643,                0.39014,                0.36299,                0.11927,                 2.2873,                 1.9794,                  1.884,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.2102,                 2.0032,                 1.7388,                0.46104,                0.41127,                0.37858,                0.12812,                 2.2709,                 1.9557,                 1.8659,               0.001604,               0.001604,               0.001604
                     22,                 2.2107,                 1.9866,                  1.736,                0.45007,                0.43859,                0.38943,                0.12744,                 2.2885,                 1.9405,                 1.8517,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.2067,                 1.9615,                 1.7343,                0.44378,                0.42225,                0.38248,                0.12804,                 2.2633,                 1.9056,                 1.8528,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1944,                 1.9194,                 1.7247,                0.45729,                0.43662,                0.39328,                0.13192,                 2.2943,                 1.9225,                 1.8314,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1716,                 1.9013,                 1.7086,                0.47667,                0.44873,                0.40781,                0.13336,                 2.3003,                  1.906,                 1.8682,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.1579,                 1.8674,                  1.695,                0.50253,                 0.4293,                0.41835,                0.14203,                 2.2807,                 1.8528,                 1.8518,               0.001505,               0.001505,               0.001505
                     27,                  2.156,                 1.8553,                 1.6842,                0.49975,                0.46235,                0.42837,                0.14339,                 2.2653,                 1.8356,                 1.8224,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.1426,                 1.8212,                 1.6737,                0.50431,                0.44986,                0.43299,                0.14591,                 2.2725,                 1.8463,                 1.8337,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.1402,                 1.8038,                 1.6668,                0.51003,                 0.4493,                0.43237,                0.14504,                 2.2809,                 1.8273,                 1.8245,              0.0014456,              0.0014456,              0.0014456
                     30,                   2.12,                 1.7788,                 1.6698,                0.51553,                0.46101,                0.43586,                0.14934,                  2.275,                 1.8091,                 1.8416,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.1212,                  1.766,                 1.6569,                0.51791,                0.48169,                0.45224,                 0.1507,                 2.2944,                 1.7736,                 1.8299,               0.001406,               0.001406,               0.001406
                     32,                 2.1146,                 1.7511,                 1.6522,                0.51522,                0.46817,                 0.4438,                0.15483,                 2.2839,                 1.7739,                  1.824,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.1018,                 1.7135,                  1.634,                0.51715,                0.46372,                0.44684,                0.15432,                 2.2759,                   1.77,                 1.8272,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.0954,                 1.7079,                 1.6246,                0.52788,                0.47352,                0.45604,                0.15609,                 2.2805,                 1.7574,                 1.8205,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.0836,                 1.6946,                 1.6236,                0.52617,                0.48563,                0.45851,                0.15921,                 2.2846,                 1.7456,                 1.8154,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0785,                 1.6858,                 1.6128,                0.52644,                0.46704,                0.45309,                0.15886,                 2.2798,                 1.7441,                 1.8106,               0.001307,               0.001307,               0.001307
                     37,                 2.0645,                 1.6643,                 1.6145,                0.52931,                0.48761,                0.46117,                0.16136,                 2.2718,                 1.7367,                 1.8175,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0663,                 1.6663,                 1.6032,                 0.5313,                0.48958,                0.46584,                0.16231,                 2.2723,                 1.7144,                 1.8227,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0523,                  1.634,                 1.5891,                0.53984,                0.49014,                0.46501,                0.15839,                 2.2989,                 1.7255,                  1.825,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.0519,                 1.6097,                 1.5902,                0.54367,                0.48254,                0.46789,                0.16083,                 2.3137,                 1.7077,                 1.8349,              0.0012278,              0.0012278,              0.0012278
